account_id,account_age_days,monthly_txn_count,avg_txn_amount,inward_txn_count,outward_txn_count,inward_amount,outward_amount,unique_senders,unique_receivers,cash_withdrawal_count,rapid_transfer_count,night_txn_ratio,new_beneficiary_count,geo_change_count,failed_login_count,device_change_count,balance_velocity,label
ACC00022,273,136,7896.67,91,45,698368.71,402913.87,76,38,11,43,0.2659,25,3,5,4,0.9746,1
ACC00023,782,138,1775.81,83,55,117393.77,99368.86,33,33,1,3,0.0488,1,2,2,0,0.1252,0
ACC00024,481,186,5688.05,116,70,745196.92,435397.04,87,56,18,69,0.542,21,6,8,3,0.8716,1
ACC00025,1380,107,2295.51,68,39,181695.0,94481.61,33,16,4,2,0.0383,2,1,0,2,0.4468,0
ACC00026,27,264,9046.37,155,109,1399731.03,995031.56,106,99,23,103,0.4268,30,6,7,4,0.9447,1
ACC00027,1727,55,4435.85,25,30,86652.26,124664.36,11,13,2,3,0.0966,3,1,1,2,0.2536,0
ACC00028,472,88,1149.09,41,47,49586.49,41230.42,21,28,2,3,0.0144,0,0,1,0,0.5907,0
ACC00029,272,65,8895.56,49,16,425623.77,122749.68,29,16,14,31,0.3819,20,5,5,4,0.7919,1
ACC00030,1201,63,3226.05,38,25,151343.86,66115.21,18,8,1,2,0.0351,1,1,0,0,0.1996,0
ACC00031,1233,22,1604.53,10,12,16105.98,19216.17,5,2,1,3,0.0652,1,0,4,0,0.1166,0
ACC00032,715,24,2626.27,13,11,39653.66,28891.76,5,9,0,4,0.0727,1,1,2,0,0.2415,0
ACC00033,742,35,2906.79,14,21,49179.28,54002.91,2,13,1,2,0.0165,1,0,4,1,0.1012,0
ACC00034,921,51,5962.94,24,27,176186.76,152934.63,13,17,2,2,0.0694,2,1,0,1,0.2648,0
ACC00035,1334,27,2384.37,9,18,26106.95,34213.07,9,6,2,3,0.0453,1,0,0,1,0.3326,0
ACC00036,1395,32,3560.31,17,15,46774.59,43692.11,11,2,1,1,0.0437,2,1,2,2,0.2311,0
ACC00037,550,12,604.39,7,5,3800.1,2868.74,2,2,5,3,0.0517,1,0,2,0,0.1548,0
ACC00038,2490,57,5925.96,33,24,224126.17,154975.2,9,15,1,3,0.0933,0,1,0,0,0.2059,0
ACC00039,496,64,2052.75,26,38,61789.5,70660.19,13,22,4,0,0.0416,1,0,0,1,0.1426,0
ACC00040,349,559,16185.54,333,226,6626788.58,4542672.23,293,187,10,212,0.4041,34,8,6,4,0.8238,1
ACC00041,950,90,2315.94,32,58,90827.28,133494.72,15,42,1,2,0.1284,0,0,1,0,0.2267,0
ACC00042,419,36,2029.26,13,23,32489.75,46475.9,2,12,4,1,0.0243,1,0,2,1,0.4689,0
ACC00043,59,216,23579.43,154,62,3687755.42,1704034.7,154,56,11,72,0.5769,27,5,8,4,0.887,1
ACC00044,414,42,5554.9,18,24,119646.24,138076.24,2,9,1,1,0.0368,1,3,4,3,0.2789,0
ACC00045,934,45,4910.42,28,17,117854.91,106033.09,7,13,0,2,0.0591,0,0,0,1,0.1077,0
ACC00046,273,59,2015.81,23,36,51393.58,74620.28,9,19,2,1,0.0151,0,0,1,1,0.2149,0
ACC00047,123,377,14637.2,270,107,4841006.1,1728637.87,226,62,17,154,0.3563,21,6,5,4,0.9199,1
ACC00048,620,85,2652.21,38,47,102213.1,122394.95,24,32,1,2,0.0699,0,0,1,0,0.3107,0
ACC00049,225,567,10307.68,310,257,3093291.17,2782744.02,240,215,14,223,0.5581,28,7,3,3,0.8575,1
ACC00050,302,17,3735.84,10,7,28733.75,24371.18,4,6,1,5,0.0085,0,1,2,0,0.386,0
ACC00051,2654,29,2106.64,16,13,41786.23,24154.22,16,9,4,0,0.0103,2,1,1,0,0.1672,0
ACC00052,32,269,11150.91,214,55,2403462.56,543186.24,166,42,21,113,0.4767,26,8,3,3,0.8215,1
ACC00053,664,29,1806.56,14,15,20964.66,22588.57,14,10,2,3,0.0136,2,1,1,0,0.3688,0
ACC00054,650,16,4151.87,9,7,35843.87,35339.05,9,3,2,0,0.0587,2,0,0,0,0.4567,0
ACC00055,2569,80,860.49,36,44,25330.48,34353.57,3,23,4,1,0.0823,1,1,0,0,0.2512,0
ACC00056,852,19,8515.63,9,10,93044.73,61458.44,5,2,5,3,0.0905,1,0,1,1,0.02,0
ACC00057,1611,18,882.49,11,7,9498.59,4824.14,2,4,4,2,0.0168,3,1,1,0,0.3528,0
ACC00058,1163,65,2582.36,30,35,85704.84,88801.72,17,28,2,3,0.0314,1,1,0,1,0.1925,0
ACC00059,832,63,4464.36,33,30,114471.19,162541.16,11,21,4,1,0.0966,3,0,1,2,0.3075,0
ACC00060,1014,81,782.67,50,31,37393.45,26336.39,27,14,2,4,0.0131,2,0,0,1,0.3774,0
ACC00061,24,175,18132.5,117,58,2068078.79,916575.08,98,58,10,68,0.4625,25,7,10,5,0.9578,1
ACC00062,1879,74,1256.79,37,37,59615.22,55367.11,28,21,3,5,0.0705,2,0,2,0,0.1307,0
ACC00063,93,674,10830.63,343,331,4002606.38,3338696.48,242,292,9,265,0.3385,29,7,5,5,0.8222,1
ACC00064,773,41,5809.75,17,24,86004.08,149546.57,10,16,1,0,0.0877,2,1,3,1,0.1816,0
ACC00065,103,147,5533.48,80,67,389888.72,331146.64,75,38,16,59,0.5241,28,8,3,3,0.845,1
ACC00066,1015,33,1724.46,20,13,33210.21,27225.84,2,2,0,4,0.0588,0,1,1,0,0.2822,0
ACC00067,585,34,2261.06,12,22,30530.09,54316.36,2,20,1,1,0.0401,1,1,0,1,0.4093,0
ACC00068,1457,40,2110.66,15,25,37505.41,40022.96,3,12,2,3,0.0791,4,2,0,0,0.1119,0
ACC00069,1598,33,3824.38,20,13,91472.01,58210.08,2,13,5,2,0.0842,1,1,1,0,0.167,0
ACC00070,476,65,1502.83,40,25,59363.72,34436.86,19,13,1,8,0.0301,1,0,0,1,0.1869,0
ACC00071,2972,40,1002.3,16,24,19107.66,17676.27,2,14,2,1,0.0377,4,2,1,0,0.438,0
ACC00072,65,127,38214.43,73,54,3048732.12,2529849.14,59,48,7,51,0.4253,27,5,5,3,0.8182,1
ACC00073,626,77,4870.97,44,33,253539.79,165043.66,22,23,0,3,0.0651,1,0,0,1,0.1398,0
ACC00074,250,39,1835.3,14,25,25493.65,33455.03,14,11,3,0,0.0574,1,1,0,0,0.1367,0
ACC00075,662,17,2432.12,6,11,18907.94,26691.89,6,6,2,2,0.0119,1,0,1,1,0.2507,0
ACC00076,1652,10,2828.61,3,7,6848.34,21690.83,3,4,1,1,0.0279,1,1,2,0,0.1934,0
ACC00077,437,609,21007.66,345,264,8671074.32,6374194.83,286,247,20,232,0.396,30,9,5,3,0.7736,1
ACC00078,1346,169,1705.63,92,77,120848.71,154516.51,41,50,2,2,0.066,1,0,1,1,0.2439,0
ACC00079,527,14,4233.39,6,8,30397.89,26436.56,6,2,2,1,0.027,2,1,1,2,0.2764,0
ACC00080,214,356,7119.85,266,90,2226629.87,631688.05,256,87,12,121,0.5029,25,3,4,2,0.6487,1
ACC00081,1047,50,4797.92,20,30,88363.28,127686.02,2,7,0,2,0.0683,0,3,1,0,0.1563,0
ACC00082,971,61,3329.04,34,27,84977.07,64174.37,9,12,2,4,0.0296,2,0,2,1,0.1099,0
ACC00083,2117,40,1285.49,15,25,25536.6,35141.63,3,16,1,2,0.0735,0,1,0,4,0.2788,0
ACC00084,52,80,8546.18,47,33,479701.82,240905.65,30,27,14,27,0.2633,22,5,6,1,0.9151,1
ACC00085,571,51,3334.89,24,27,92489.48,88750.8,12,12,1,2,0.0858,1,0,4,1,0.2011,0
ACC00086,380,25,3005.54,13,12,49770.8,38438.44,11,4,0,0,0.1232,1,0,1,1,0.4079,0
ACC00087,761,37,4905.85,20,17,107051.15,83976.84,2,8,1,1,0.0152,0,0,3,2,0.2381,0
ACC00088,863,47,5193.33,20,27,126599.7,119131.05,3,19,2,0,0.1456,0,0,0,4,0.1441,0
ACC00089,894,33,5628.59,21,12,93365.6,57141.64,5,9,2,2,0.0216,2,2,2,0,0.3409,0
ACC00090,1728,45,1457.39,20,25,22931.67,40057.55,10,9,3,4,0.0714,4,0,3,0,0.0859,0
ACC00091,493,22,2294.83,10,12,28848.56,28456.8,4,11,4,2,0.0079,1,1,1,1,0.1798,0
ACC00092,709,28,4205.26,10,18,37064.0,88963.47,7,16,2,0,0.0154,1,0,2,2,0.2238,0
ACC00093,568,78,4097.87,40,38,186536.61,150167.28,24,22,3,2,0.0207,0,0,1,1,0.0714,0
ACC00094,37,189,13233.61,129,60,1782721.95,710311.33,102,60,15,75,0.596,33,5,2,4,0.7062,1
ACC00095,81,252,5096.69,176,76,768276.16,438479.95,149,57,13,95,0.2247,23,5,5,8,0.8914,1
ACC00096,1515,29,1006.24,16,13,19378.31,13737.96,9,5,3,2,0.0765,2,0,3,0,0.2436,0
ACC00097,87,340,21983.48,240,100,6121343.36,2324543.93,212,85,14,139,0.5646,25,5,6,4,0.8396,1
ACC00098,104,394,18846.23,288,106,5527765.45,1906954.12,236,86,13,149,0.457,26,7,7,6,0.8766,1
ACC00099,40,178,46613.68,112,66,6333090.86,3326446.65,108,43,11,78,0.4868,27,12,5,5,0.6128,1
ACC00100,595,24,4877.18,9,15,53874.67,64064.21,4,11,3,4,0.0181,3,0,0,1,0.3453,0
ACC00101,148,219,12261.94,153,66,1730709.66,869600.78,145,66,16,93,0.5682,25,2,2,7,0.7917,1
ACC00102,363,199,17672.07,122,77,2644182.0,1586448.0,112,63,17,75,0.492,28,9,6,3,0.901,1
ACC00103,690,116,628.5,49,67,27713.38,54473.74,29,32,1,2,0.0437,0,0,2,0,0.109,0
ACC00104,728,27,4542.79,17,10,75939.45,47752.04,4,10,0,0,0.049,0,0,0,1,0.1778,0
ACC00105,968,61,4130.33,27,34,88894.09,127372.25,15,14,3,3,0.0242,2,1,2,0,0.3289,0
ACC00106,2149,37,3473.36,13,24,52694.7,107025.83,13,14,3,1,0.1037,3,0,2,0,0.3545,0
ACC00107,2033,28,2778.68,9,19,20318.32,42083.79,2,10,1,0,0.0299,3,2,2,1,0.5396,0
ACC00108,392,66,2125.4,30,36,57686.21,89772.36,18,19,1,4,0.0784,4,0,2,3,0.1055,0
ACC00109,224,31,3569.39,12,19,45314.64,85894.34,10,12,4,1,0.1107,1,0,1,0,0.6185,0
ACC00110,37,121,7245.98,88,33,680506.72,290197.67,84,25,17,53,0.2631,28,10,3,8,0.9765,1
ACC00111,15,200,38526.3,148,52,6868468.1,2062439.76,100,47,9,87,0.2072,35,5,6,3,0.8659,1
ACC00112,181,180,25068.1,106,74,3320114.42,2119766.97,82,53,15,62,0.291,19,7,4,4,0.8558,1
ACC00113,1949,138,1214.79,61,77,71328.63,77983.53,18,39,1,3,0.1417,1,1,0,1,0.204,0
ACC00114,986,152,2514.46,62,90,120231.48,281410.22,27,45,1,4,0.0681,0,1,2,0,0.129,0
ACC00115,726,26,7927.1,9,17,70526.49,170341.32,4,10,1,4,0.0224,0,1,0,0,0.4418,0
ACC00116,236,219,26705.43,114,105,2777662.26,2486154.51,97,95,14,80,0.1506,22,4,8,5,0.9382,1
ACC00117,2824,19,3379.79,6,13,17999.52,40080.64,6,5,3,0,0.0578,0,0,2,0,0.4403,0
ACC00118,1879,85,5154.53,42,43,172382.5,269885.06,23,21,2,2,0.0867,3,4,0,1,0.5278,0
ACC00119,137,463,28584.74,279,184,6823702.22,5927466.61,215,170,12,192,0.3246,37,2,5,4,0.6635,1
ACC00120,86,203,13508.48,129,74,1590997.83,1057108.43,112,74,13,72,0.3884,30,4,5,4,0.7522,1
ACC00121,306,19,1905.14,11,8,24265.03,18336.51,2,2,3,1,0.0379,0,0,0,1,0.3003,0
ACC00122,411,35,10523.1,13,22,156035.98,178784.43,2,17,1,0,0.0579,3,0,2,0,0.2021,0
ACC00123,753,42,3578.16,21,21,94112.94,95897.48,2,8,1,1,0.0323,1,2,1,1,0.0868,0
ACC00124,1093,63,10345.56,37,26,481293.49,288964.82,25,23,2,4,0.0584,1,1,1,1,0.0878,0
ACC00125,937,38,1852.67,24,14,48938.63,20070.96,11,3,2,2,0.0078,0,1,2,0,0.2018,0
ACC00126,85,362,22926.94,272,90,5424353.0,2107064.21,252,90,16,132,0.4238,18,8,5,5,0.7352,1
ACC00127,596,49,1047.85,22,27,29262.74,36307.88,8,26,0,1,0.1168,1,0,1,1,0.307,0
ACC00128,101,291,8630.61,145,146,1103348.51,1334531.25,128,135,19,105,0.4335,25,8,8,4,0.865,1
ACC00129,1205,21,1354.84,8,13,12027.46,15865.31,2,7,3,3,0.0442,3,0,0,1,0.1083,0
ACC00130,48,433,4749.47,242,191,1100490.58,987358.76,214,161,17,155,0.3223,30,5,4,4,0.45,1
ACC00131,537,25,5506.34,9,16,38717.1,85649.69,6,4,2,1,0.0245,3,0,1,0,0.1479,0
ACC00132,445,55,1494.31,30,25,59429.16,33917.66,15,18,2,2,0.0902,1,0,1,0,0.2056,0
ACC00133,1445,53,5855.71,29,24,192442.06,99062.33,13,8,2,2,0.0198,0,0,2,2,0.585,0
ACC00134,2367,122,4818.47,79,43,396539.12,235085.19,37,26,0,2,0.0363,1,0,0,0,0.1483,0
ACC00135,417,37,3621.51,19,18,52258.26,81359.08,12,9,2,2,0.0332,1,0,0,1,0.0573,0
ACC00136,1765,60,1441.12,24,36,30436.47,37520.59,4,24,0,3,0.0301,2,0,1,1,0.4275,0
ACC00137,34,261,13311.46,205,56,2429991.59,759838.1,158,46,11,103,0.3253,34,12,11,4,0.869,1
ACC00138,93,219,21913.5,138,81,2670649.68,2213203.85,113,71,17,91,0.4812,21,7,2,4,0.8536,1
ACC00139,322,28,1625.06,15,13,31753.46,18043.65,2,13,1,0,0.0375,1,1,0,0,0.3275,0
ACC00140,611,39,1701.22,18,21,23958.77,46421.33,11,16,1,2,0.056,1,0,2,0,0.3305,0
ACC00141,801,82,4696.92,51,31,187314.35,112515.78,19,10,3,1,0.0322,2,0,3,0,0.2061,0
ACC00142,512,32,826.34,11,21,9852.91,22506.25,8,17,0,3,0.0258,0,0,2,0,0.2822,0
ACC00143,473,104,1176.89,40,64,47279.15,71557.09,10,41,2,1,0.1144,1,0,1,0,0.1808,0
ACC00144,528,99,4626.24,54,45,199825.97,254556.96,25,21,3,4,0.0499,0,0,1,1,0.2472,0
ACC00145,602,404,32680.24,216,188,8769138.48,5277671.47,184,166,17,132,0.5718,31,8,4,2,0.9684,1
ACC00146,234,37,2928.9,15,22,47101.6,74414.25,2,12,4,1,0.0398,2,0,2,1,0.3989,0
ACC00147,844,46,2481.44,24,22,62539.69,68544.18,13,8,4,2,0.0646,2,0,0,0,0.2537,0
ACC00148,288,257,8933.57,187,70,1699043.82,648812.12,132,70,17,98,0.472,21,9,8,4,0.7458,1
ACC00149,869,24,2911.87,11,13,30166.28,45445.58,7,11,2,2,0.0682,1,0,1,0,0.2986,0
ACC00150,867,40,3449.54,17,23,47056.46,78837.4,2,13,4,3,0.0453,2,0,2,2,0.2981,0
ACC00151,439,204,9748.08,157,47,1417902.54,417651.12,129,47,10,89,0.4282,22,8,2,3,0.8456,1
ACC00152,30,206,20831.97,143,63,3237213.39,1474276.75,127,63,22,69,0.4138,24,6,6,5,0.9345,1
ACC00153,905,51,1500.29,19,32,35200.38,43763.08,8,12,3,1,0.0054,3,1,2,1,0.2627,0
ACC00154,35,249,14339.6,160,89,2703900.5,1413184.04,155,77,13,86,0.3004,25,2,6,4,0.7294,1
ACC00155,129,335,10084.81,223,112,2249282.0,1173008.9,186,112,11,141,0.3801,24,5,5,3,0.871,1
ACC00156,614,27,5872.71,13,14,88375.02,102630.5,6,14,2,2,0.0221,1,0,1,1,0.383,0
ACC00157,465,127,15496.53,88,39,1373329.76,692076.82,80,39,9,54,0.2713,20,10,6,5,0.9668,1
ACC00158,754,22,3052.24,10,12,39280.64,28613.72,6,9,1,1,0.065,2,1,2,0,0.3063,0
ACC00159,787,31,2787.97,16,15,41694.02,33834.93,13,10,1,2,0.0432,1,1,2,1,0.3375,0
ACC00160,799,86,1582.1,47,39,72817.97,73864.84,12,19,1,2,0.0477,2,0,0,0,0.3153,0
ACC00161,145,183,10249.18,104,79,1272830.64,941061.58,104,79,22,75,0.4849,23,7,6,2,0.8817,1
ACC00162,106,397,10586.54,254,143,2341848.06,1486932.41,220,114,17,160,0.4316,29,4,3,5,0.8051,1
ACC00163,37,223,21879.01,155,68,2930856.18,1422647.03,142,42,22,79,0.3449,19,3,2,7,0.9121,1
ACC00164,183,763,21985.25,603,160,12041498.36,3336471.78,510,145,4,305,0.6073,27,5,3,4,0.6966,1
ACC00165,2150,37,4328.41,20,17,107889.71,63767.82,2,8,3,3,0.0653,0,0,0,0,0.2528,0
ACC00166,572,50,1985.75,31,19,52791.17,31041.5,5,19,1,0,0.0734,2,0,1,0,0.2878,0
ACC00167,100,176,11706.26,115,61,1285592.67,847920.79,99,54,11,81,0.4432,19,6,4,1,0.8562,1
ACC00168,1752,17,1189.38,7,10,9704.65,14829.48,5,5,1,2,0.0234,2,1,1,1,0.3112,0
ACC00169,3451,49,13466.92,19,30,297749.14,391667.99,7,28,3,0,0.0377,1,0,0,0,0.2764,0
ACC00170,341,17,5058.7,8,9,32971.46,51558.24,8,3,3,1,0.0444,0,0,1,0,0.2665,0
ACC00171,124,286,9358.28,148,138,1523732.33,1439192.71,130,129,11,122,0.2532,24,8,4,3,0.9686,1
ACC00172,5000,101,5973.96,59,42,291180.04,238152.63,19,20,0,0,0.0176,1,0,3,1,0.3339,0
ACC00173,272,38,7288.72,23,15,136748.13,90200.73,6,11,1,2,0.0357,1,1,3,0,0.2453,0
ACC00174,1438,35,1647.84,18,17,25524.8,24704.11,2,2,3,0,0.0081,3,0,1,0,0.4377,0
ACC00175,513,31,1572.02,14,17,23110.71,32667.34,14,9,2,2,0.0344,3,0,1,2,0.2704,0
ACC00176,193,36,5338.42,19,17,109412.63,73311.13,2,4,4,0,0.0771,2,0,2,1,0.297,0
ACC00177,1915,53,952.66,29,24,21494.54,28315.48,9,15,1,1,0.0458,1,1,4,1,0.3862,0
ACC00178,161,205,8493.05,137,68,1454291.62,668160.12,119,57,10,71,0.3704,32,4,2,3,0.8116,1
ACC00179,140,294,6738.41,205,89,1500248.71,727594.15,174,71,14,110,0.303,31,2,1,9,0.9429,1
ACC00180,540,102,2133.67,36,66,71444.68,180533.65,16,30,1,2,0.0448,1,1,1,0,0.345,0
ACC00181,2069,32,6202.16,20,12,152078.91,90913.32,9,12,0,1,0.0709,1,1,1,1,0.2829,0
ACC00182,83,133,10235.95,101,32,1042997.39,310355.45,82,29,14,50,0.4739,28,4,5,3,0.771,1
ACC00183,352,58,2714.04,34,24,101530.29,64430.77,18,11,1,2,0.1007,0,0,1,1,0.3601,0
ACC00184,1028,47,1497.66,21,26,26396.58,39468.05,17,19,4,1,0.0411,1,0,1,1,0.2799,0
ACC00185,872,30,1125.46,13,17,11875.43,18168.47,2,2,2,1,0.1293,1,0,2,2,0.1495,0
ACC00186,719,92,1659.56,59,33,90882.36,49035.18,25,19,1,2,0.0444,0,0,1,1,0.2949,0
ACC00187,1624,24,1606.19,13,11,22436.41,21156.96,9,2,2,2,0.0497,2,1,0,1,0.4462,0
ACC00188,1802,69,1755.59,28,41,42753.41,78671.42,12,26,1,5,0.0937,4,1,1,0,0.1857,0
ACC00189,118,131,13421.06,75,56,1199806.77,681286.99,62,34,13,44,0.6716,30,5,7,7,0.9687,1
ACC00190,481,39,1139.52,15,24,13105.91,30994.83,2,14,2,1,0.1222,1,0,0,0,0.2156,0
ACC00191,216,55,1565.78,26,29,53586.64,36116.29,19,20,3,2,0.0052,4,0,2,0,0.195,0
ACC00192,270,29,2346.19,14,15,36426.66,37935.07,14,5,3,4,0.0655,0,0,1,0,0.2078,0
ACC00193,913,84,10741.04,53,31,561958.42,354175.83,25,17,2,1,0.0362,3,0,1,1,0.2295,0
ACC00194,768,54,5716.96,24,30,166421.12,131848.53,6,13,0,0,0.047,3,1,1,3,0.3809,0
ACC00195,141,273,12975.93,155,118,1743679.44,1563173.73,113,114,17,100,0.617,27,5,4,7,0.9433,1
ACC00196,988,54,863.22,25,29,27766.96,30985.69,13,13,1,3,0.1452,3,3,0,1,0.5226,0
ACC00197,38,193,13189.88,99,94,1599102.99,1258048.1,70,91,12,77,0.5739,25,10,9,3,0.8971,1
ACC00198,1022,73,4344.59,39,34,150183.03,137927.96,17,20,3,4,0.0252,1,1,4,3,0.2412,0
ACC00199,3003,47,4849.04,20,27,99192.11,111139.78,17,9,2,0,0.1638,3,2,1,0,0.3802,0
ACC00200,31,235,38616.21,169,66,7513369.36,2565021.23,147,47,14,84,0.2282,31,5,6,1,0.8586,1
ACC00201,339,13,5640.82,7,6,44912.15,38796.39,2,6,2,1,0.1124,0,0,1,0,0.1771,0
ACC00202,71,57,2869.58,26,31,91476.38,76177.29,15,15,0,4,0.041,2,0,1,1,0.2114,0
ACC00203,726,29,2979.73,18,11,50916.92,34445.84,9,8,6,3,0.0821,3,1,2,0,0.2196,0
ACC00204,598,101,531.48,56,45,24144.53,22007.88,20,24,3,2,0.0102,0,0,2,1,0.2741,0
ACC00205,161,214,17422.81,156,58,2517049.65,985814.23,141,58,14,93,0.361,14,5,3,6,0.8088,1
ACC00206,1710,63,1601.13,39,24,68768.08,41540.55,16,9,0,2,0.0082,2,1,2,0,0.2085,0
ACC00207,1515,33,1425.85,17,16,30284.79,27531.76,7,11,6,1,0.0953,2,0,0,0,0.135,0
ACC00208,991,42,5391.09,15,27,87865.9,185496.32,9,14,2,2,0.1248,2,1,2,2,0.5888,0
ACC00209,2067,51,994.4,27,24,21383.05,17193.55,6,8,2,2,0.0623,0,3,2,2,0.456,0
ACC00210,1049,76,4292.19,32,44,166995.53,231376.54,16,26,4,1,0.0555,2,0,0,1,0.1757,0
ACC00211,78,302,12157.09,217,85,2473938.56,1149983.24,185,70,16,108,0.5544,27,2,2,6,0.9585,1
ACC00212,33,438,8135.79,309,129,2946549.85,1260501.77,258,117,9,162,0.1534,27,9,5,4,0.9492,1
ACC00213,1101,40,3348.38,18,22,74030.21,71473.71,11,9,4,2,0.0246,3,2,2,1,0.2444,0
ACC00214,234,252,12438.69,198,54,3047368.07,744455.53,166,44,15,71,0.2331,32,3,11,2,0.9368,1
ACC00215,95,169,6226.73,118,51,633801.33,376570.09,96,43,17,68,0.5646,21,4,6,8,0.8311,1
ACC00216,281,120,6461.23,62,58,523100.75,461968.33,20,38,3,1,0.0609,2,1,3,1,0.0651,0
ACC00217,547,22,1787.99,11,11,23456.66,20347.86,2,5,4,4,0.0188,0,0,2,0,0.2123,0
ACC00218,99,608,13060.17,454,154,5309486.11,1884117.36,380,147,14,266,0.2968,31,9,6,4,0.9563,1
ACC00219,1166,78,4095.37,41,37,218314.26,122890.39,20,17,2,2,0.0101,1,1,1,0,0.1249,0
ACC00220,848,84,1445.11,44,40,67041.31,67276.41,16,16,3,2,0.135,2,0,1,1,0.3904,0
ACC00221,295,270,10192.11,171,99,1690176.98,1193206.58,155,91,15,113,0.421,26,9,4,1,0.897,1
ACC00222,510,237,7866.75,150,87,1361077.48,839784.82,131,58,13,89,0.4541,24,7,3,1,0.7571,1
ACC00223,233,108,4703.13,46,62,273170.55,311158.26,32,29,1,2,0.0631,0,0,0,2,0.462,0
ACC00224,672,142,12812.02,71,71,1051427.94,804103.38,71,69,16,51,0.3204,31,5,6,4,0.7597,1
ACC00225,198,344,8565.92,255,89,2256545.11,774507.24,223,64,18,148,0.3919,26,4,8,3,0.8226,1
ACC00226,1055,78,3102.34,35,43,133484.29,170337.77,10,18,2,4,0.0325,3,0,2,0,0.4123,0
ACC00227,1382,98,7869.92,43,55,417601.56,431151.99,14,31,3,3,0.0296,3,1,1,0,0.2854,0
ACC00228,54,150,32329.15,75,75,2903930.48,2114896.63,65,62,13,45,0.4016,25,9,5,1,0.7208,1
ACC00229,29,525,14123.04,276,249,3885123.49,3758009.42,242,226,12,182,0.2382,20,9,6,3,0.9235,1
ACC00230,675,47,5326.49,18,29,117868.32,153653.51,5,19,1,2,0.0698,0,0,2,1,0.4771,0
ACC00231,581,29,4730.13,10,19,63314.63,107987.2,10,18,2,1,0.0272,0,1,1,1,0.1237,0
ACC00232,179,175,6071.32,111,64,789105.56,453306.24,100,64,14,75,0.4088,22,5,7,5,0.8661,1
ACC00233,891,70,2897.89,38,32,115700.33,95071.06,15,22,1,3,0.0389,2,0,1,4,0.3498,0
ACC00234,1533,71,758.33,28,43,18443.1,26145.68,7,25,1,1,0.0108,2,1,1,4,0.2217,0
ACC00235,1116,32,1855.94,15,17,32969.42,23824.52,15,8,2,1,0.0323,1,1,2,2,0.1192,0
ACC00236,1234,24,1137.78,13,11,16487.38,11215.89,2,9,1,0,0.0667,0,0,0,0,0.4748,0
ACC00237,348,29,1866.01,11,18,21764.75,42845.37,2,12,1,1,0.0508,0,0,1,1,0.1336,0
ACC00238,193,384,10275.78,226,158,2787099.49,1415031.45,177,134,17,174,0.3882,18,4,6,4,0.7718,1
